Vendor Code,Supplier Name,GSTIN,PAN,Account Number,Registered Address,Contact No,Email Domain,Vendor Since,MSME Regd,Spend Category
V-001,Sharma & Sons,33ASHAS4713L9ZJ,ASHAS4713L,HDFC-100000,89/4 GST Road,+91 9694468049,accounts@sharmasons0.co.in,11/02/2023,No,IT Hardware
V-002,Venkat Distributors,33AVENN9915Q4ZE,AVENN9915Q,SBIN-100001,188/5 Industrial Estate,+91 9104428557,accounts@venkatdistribu1.co.in,26/07/2024,Yes,Office Supplies
V-003,Iyer Enterprises,33AIYEX1423Q9ZT,AIYEX1423Q,SBIN-100002,27/7 GST Road,+91 9953980629,accounts@iyerenterprise2.co.in,09/01/2024,Yes,Facilities
V-004,Rajan Systems,33ARAJR8292H7ZX,ARAJR8292H,HDFC-100003,135/4 GST Road,+91 9707299361,accounts@rajansystems3.co.in,19/05/2023,No,Logistics
V-005,Balaji Packaging,33ABALQ6913C1ZM,ABALQ6913C,KVBL-100004,21/5 Mill Street,+91 9225167038,accounts@balajipackagin4.co.in,04/12/2023,Yes,Raw Materials
V-006,Krishnan Agencies,33AKRIR2541E1ZM,AKRIR2541E,HDFC-100005,98/5 GST Road,+91 9222605726,accounts@krishnanagenci5.co.in,06/01/2025,No,Professional Services
V-007,Meenakshi Associates,33AMEEL4039F5ZM,AMEEL4039F,ICICI-100006,119/3 Bypass Road,+91 9350938060,accounts@meenakshiassoc6.co.in,25/09/2024,Yes,Packaging
V-008,Ganesh Industries,33AGANL5725B9ZR,AGANL5725B,AXIS-100007,7/8 Mill Street,+91 9482160020,accounts@ganeshindustri7.co.in,15/10/2022,No,Electricals
V-009,Anand Works,33AANAG2129R1ZJ,AANAG2129R,SBIN-100008,106/1 Mill Street,+91 9310529903,accounts@anandworks8.co.in,06/09/2023,No,IT Hardware
V-010,Nithya Traders,33ANITR9145V3ZK,ANITR9145V,KVBL-100009,141/4 GST Road,+91 9179306480,accounts@nithyatraders9.co.in,18/05/2023,Yes,Office Supplies
V-011,Pandian Supplies,33APANX6189X7ZE,APANX6189X,ICICI-100010,182/1 Industrial Estate,+91 9113760019,accounts@pandiansupplie10.co.in,02/01/2023,Yes,Facilities
V-012,Murugan Technologies,33AMURL1760Y2ZT,AMURL1760Y,AXIS-100011,132/8 Mill Street,+91 9117414902,accounts@murugantechnol11.co.in,09/09/2023,No,Logistics
V-013,Selvam & Sons,33ASELV3260K6ZB,ASELV3260K,ICICI-100012,117/7 Industrial Estate,+91 9903561900,accounts@selvamsons12.co.in,06/01/2024,Yes,Raw Materials
V-014,Kannan Distributors,33AKANM4947B6ZL,AKANM4947B,ICICI-100013,44/7 GST Road,+91 9910963123,accounts@kannandistribu13.co.in,16/03/2023,No,Professional Services
V-015,Ramesh Enterprises,33ARAMU1803P4ZK,ARAMU1803P,AXIS-100014,174/5 Industrial Estate,+91 9862505479,accounts@rameshenterpri14.co.in,04/04/2024,No,Packaging
V-016,Kalyani Systems,33AKALC5387Q7ZV,AKALC5387Q,AXIS-100015,91/6 Bypass Road,+91 9989043543,accounts@kalyanisystems15.co.in,04/07/2024,No,Electricals
V-017,Thangam Packaging,33ATHAX8420S5ZV,ATHAX8420S,KVBL-100016,96/8 GST Road,+91 9328470840,accounts@thangampackagi16.co.in,16/06/2023,No,IT Hardware
V-018,Vetri Agencies,33AVETS5670D9ZR,AVETS5670D,KVBL-100017,150/6 Bypass Road,+91 9369843143,accounts@vetriagencies17.co.in,25/12/2022,No,Office Supplies
V-019,Sundar Associates,33ASUNT7388J8ZT,ASUNT7388J,AXIS-100018,71/4 Bypass Road,+91 9375324512,accounts@sundarassociat18.co.in,24/12/2023,No,Facilities
V-020,Palani Industries,33APALY8816J2ZC,APALY8816J,KVBL-100019,109/1 Industrial Estate,+91 9550589167,accounts@palaniindustri19.co.in,21/03/2024,No,Logistics
V-021,Nataraj Works,33ANATP1276L7ZZ,ANATP1276L,KVBL-100020,110/8 Bypass Road,+91 9663281645,accounts@natarajworks20.co.in,03/07/2024,Yes,Raw Materials
V-022,Ilango Traders,33AILAU7179C7ZM,AILAU7179C,ICICI-100021,131/8 Mill Street,+91 9580405782,accounts@ilangotraders21.co.in,19/12/2022,No,Professional Services
V-023,Mahesh Supplies,33AMAHS8812D8ZC,AMAHS8812D,KVBL-100022,130/7 GST Road,+91 9680055426,accounts@maheshsupplies22.co.in,20/03/2024,No,Packaging
V-024,Bhaskar Technologies,33ABHAL4454U8ZT,ABHAL4454U,KVBL-100023,178/2 Mill Street,+91 9365529537,accounts@bhaskartechnol23.co.in,28/01/2023,Yes,Electricals
V-025,Yamuna & Sons,33AYAMZ9470W8ZZ,AYAMZ9470W,HDFC-100024,113/6 Bypass Road,+91 9533776862,accounts@yamunasons24.co.in,03/03/2023,No,IT Hardware
V-026,Karthik Distributors,33AKARC3152S3ZZ,AKARC3152S,AXIS-100025,136/7 Mill Street,+91 9775767336,accounts@karthikdistrib25.co.in,30/11/2024,No,Office Supplies
V-027,Suriya Enterprises,33ASURX5866C3ZB,ASURX5866C,SBIN-100026,145/5 Industrial Estate,+91 9306005622,accounts@suriyaenterpri26.co.in,27/12/2022,No,Facilities
V-028,Aruna Systems,33AARUH6653R5ZZ,AARUH6653R,ICICI-100027,34/1 Mill Street,+91 9571701307,accounts@arunasystems27.co.in,07/06/2024,No,Logistics
V-029,Sharma Packaging,33ASHAQ2721K9ZC,ASHAQ2721K,KVBL-100028,171/7 Industrial Estate,+91 9216863738,accounts@sharmapackagin28.co.in,03/06/2024,No,Raw Materials
V-030,Venkat Agencies,33AVENZ4018H4ZQ,AVENZ4018H,ICICI-100029,19/8 Industrial Estate,+91 9220956778,accounts@venkatagencies29.co.in,05/03/2023,No,Professional Services
